Ref,TempExp,TempExpNum,Pop,Tpop,Predpop,Mortality,InWeight,OutWeight,Deg_Weight,MeanPopT_Deg_Weight,Deg_Pourc,Deg_PourcPT,DecompRate,MeanPopT_DecompRate,DecompRateCorr,MeanPopT_DecompRateCorr,DecompRatePerDCorr,MeanPopT_DecompRatePerDCorr,DecompRatePerDPerAzCorr,MeanPopT_DecompRatePerDPerAzCorr,MeanMassPop,MeanSizePop,MeanSlopePopPTDec,MeanSlopePopPTDecPos
T05b_C91,T05,5,C9,Ambiant,Pred,2,1.04,0.85,0.19,0.19,"182,692,307,692,308","186,871,033,257,172","182,692,307,692,308","186,871,033,257,172","855,437,176,923,077","897,224,432,571,719",0.503198339,0.527779078,0.050319834,0.052777908,"19,261,746","1,397,725",-0.003700708,0.003700708
T05c_C92,T05,5,C9,Ambiant,Pred,3,1,0.83,0.17,0.19,17,NA,17,"186,871,033,257,172","7,285,141","897,224,432,571,719",0.428537706,0.527779078,0.042853771,0.052777908,"19,261,746","1,397,725",-0.003700708,0.003700708
T05d_C93,T05,5,C9,Ambiant,Pred,1,1.01,0.8,0.21,0.19,"207,920,792,079,208",NA,"207,920,792,079,208","186,871,033,257,172","110,772,202,079,208","897,224,432,571,719",0.651601189,0.527779078,0.065160119,0.052777908,"19,261,746","1,397,725",-0.003700708,0.003700708
T15b_C93,T15,15,C9,Ambiant,Pred,1,1.04,0.73,0.31,0.276666667,"298,076,923,076,923","269,615,384,615,385","298,076,923,076,923","269,615,384,615,385","200,928,333,076,923","172,466,794,615,385","118,193,137,104,072","101,451,055,656,109",0.118193137,0.101451056,"19,261,746","1,397,725",-0.005732178,0.005732178
T15c_C91,T15,15,C9,Ambiant,Pred,1,1,0.72,0.28,0.276666667,28,NA,28,"269,615,384,615,385","18,285,141","172,466,794,615,385","107,559,652,941,176","101,451,055,656,109",0.107559653,0.101451056,"19,261,746","1,397,725",-0.005732178,0.005732178
T15d_C92,T15,15,C9,Ambiant,Pred,3,1.04,0.8,0.24,0.276666667,"230,769,230,769,231",NA,"230,769,230,769,231","269,615,384,615,385","133,620,640,769,231","172,466,794,615,385",0.786003769,"101,451,055,656,109",0.078600377,0.101451056,"19,261,746","1,397,725",-0.005732178,0.005732178
T27b_C91,T27,27,C9,Ambiant,Pred,2,1.08,0.69,0.39,0.403333333,"361,111,111,111,111","380,687,830,687,831","361,111,111,111,111","380,687,830,687,831","263,962,521,111,111","283,539,240,687,831","15,527,207,124,183","1,667,877,886,399",0.155272071,0.166787789,"19,261,746","1,397,725",-0.008666393,0.008666393
T27c_C92,T27,27,C9,Ambiant,Pred,1,1.05,0.62,0.43,0.403333333,"40,952,380,952,381",NA,"40,952,380,952,381","380,687,830,687,831","31,237,521,952,381","283,539,240,687,831","183,750,129,131,653","1,667,877,886,399",0.183750129,0.166787789,"19,261,746","1,397,725",-0.008666393,0.008666393
T27d_C93,T27,27,C9,Ambiant,Pred,2,1.05,0.66,0.39,0.403333333,"371,428,571,428,571",NA,"371,428,571,428,571","380,687,830,687,831","274,279,981,428,571","283,539,240,687,831","161,341,165,546,219","1,667,877,886,399",0.161341166,0.166787789,"19,261,746","1,397,725",-0.008666393,0.008666393
T05a_D63,T05,5,D6,Ambiant,Ctrl,0,1.04,0.79,0.25,0.2,"240,384,615,384,615","19,399,964,367,126","240,384,615,384,615","19,399,964,367,126","143,236,025,384,615","968,510,536,712,599",0.842564855,0.56971208,0.084256486,0.056971208,"20,344,762","1,431,825",-0.00419291,0.00419291
