"Ref","ID_photo","Reader","Round","PopInd","Pop","TempExp","TempExpNum","Tpop","Predpop","Survival","Naivety","Remarks","Length","EvolHistory"
"T20_B5_Az3_B3","IMG_3225",727,1,"B5_Az3","B5","T20",20,"Warm","Pred","Yes","None","None",0.131,"Pred_Warm"
"T20_B6_Az18_A6","IMG_3130",715,1,"B6_Az18","B6","T20",20,"Ambiant","Pred","Yes","None","None",0.135,"Pred_Ambiant"
"T20_B6_Az1_D6","IMG_3196",727,1,"B6_Az1","B6","T20",20,"Ambiant","Pred","Yes","None","None",0.127,"Pred_Ambiant"
"T20_B7_Az13_B5","IMG_3143",715,1,"B7_Az13","B7","T20",20,"Warm","Pred","Yes","None","None",0.117,"Pred_Warm"
"T20_B9_Az17_B1","IMG_3179",715,1,"B9_Az17","B9","T20",20,"Warm","Pred","Yes","None","None",0.124,"Pred_Warm"
"T20_B9_Az9_D4","IMG_3154",715,1,"B9_Az9","B9","T20",20,"Warm","Pred","Yes","None","None",0.141,"Pred_Warm"
"T20_B9_Az16_B6","IMG_3189",727,1,"B9_Az16","B9","T20",20,"Warm","Pred","Yes","None","None",0.147,"Pred_Warm"
"T20_C1_Az15_A4","IMG_3147",715,1,"C1_Az15","C1","T20",20,"Ambiant","Pred","Yes","None","None",0.11,"Pred_Ambiant"
"T20_C1_Az1_A2","IMG_3234",727,1,"C1_Az1","C1","T20",20,"Ambiant","Pred","Yes","None","None",0.164,"Pred_Ambiant"
"T20_C1_Az18_A5","IMG_3198",727,1,"C1_Az18","C1","T20",20,"Ambiant","Pred","Yes","None","None",0.145,"Pred_Ambiant"
"T20_C3_Az2_C6","IMG_3190",727,1,"C3_Az2","C3","T20",20,"Ambiant","Pred","Yes","None","None",0.155,"Pred_Ambiant"
"T20_C3_Az6_B2","IMG_3235",727,1,"C3_Az6","C3","T20",20,"Ambiant","Pred","Yes","None","None",0.152,"Pred_Ambiant"
"T20_C3_Az9_C4","IMG_3217",727,1,"C3_Az9","C3","T20",20,"Ambiant","Pred","Yes","None","None",0.145,"Pred_Ambiant"
"T20_C5_Az8_B6",NA,715,1,"C5_Az8","C5","T20",20,"Ambiant","Ctrl","Yes","None","None",NA,"Ctrl_Ambiant"
"T20_C5_Az1_D2","IMG_3243",727,1,"C5_Az1","C5","T20",20,"Ambiant","Ctrl","Yes","None","None",0.132,"Ctrl_Ambiant"
"T20_C5_Az16_B5","IMG_3204",727,1,"C5_Az16","C5","T20",20,"Ambiant","Ctrl","Yes","None","None",0.126,"Ctrl_Ambiant"
"T20_C8_Az7_B3","IMG_3159",715,1,"C8_Az7","C8","T20",20,"Warm","Pred","Yes","None","None",0.125,"Pred_Warm"
"T20_C8_Az14_C5","IMG_3207",727,1,"C8_Az14","C8","T20",20,"Warm","Pred","Yes","None","None",0.082,"Pred_Warm"
"T20_C9_Az1_D2","IMG_3174",715,1,"C9_Az1","C9","T20",20,"Ambiant","Pred","Yes","None","None",0.112,"Pred_Ambiant"
"T20_C9_Az10_B4","IMG_3212",727,1,"C9_Az10","C9","T20",20,"Ambiant","Pred","Yes","None","None",0.14,"Pred_Ambiant"
"T20_D6_Az14_D1","IMG_3184",715,1,"D6_Az14","D6","T20",20,"Ambiant","Ctrl","Yes","None","None",0.121,"Ctrl_Ambiant"
"T20_D6_Az4_B2","IMG_3172",715,1,"D6_Az4","D6","T20",20,"Ambiant","Ctrl","Yes","None","None",0.132,"Ctrl_Ambiant"
"T20_D6_Az17_X1","IMG_3222",727,1,"D6_Az17","D6","T20",20,"Ambiant","Ctrl","Yes","None","None",0.142,"Ctrl_Ambiant"
"T20_D7_Az10_A2","IMG_3167",715,1,"D7_Az10","D7","T20",20,"Warm","Ctrl","Yes","None","None",0.167,"Ctrl_Warm"
"T20_D7_Az17_C4","IMG_3149",715,1,"D7_Az17","D7","T20",20,"Warm","Ctrl","Yes","None","None",0.138,"Ctrl_Warm"
"T20_D7_Az20_A4","IMG_3209",727,1,"D7_Az20","D7","T20",20,"Warm","Ctrl","Yes","None","None",0.152,"Ctrl_Warm"
"T23_A1_Az11_X1","IMG_3290",715,1,"A1_Az11","A1","T23",23,"Ambiant","Ctrl","Yes","None","None",0.131,"Ctrl_Ambiant"
"T23_A1_Az16_C5","IMG_3278",715,1,"A1_Az16","A1","T23",23,"Ambiant","Ctrl","Yes","None","None",0.126,"Ctrl_Ambiant"
"T23_A1_Az1_B1","IMG_3368",727,1,"A1_Az1","A1","T23",23,"Ambiant","Ctrl","Yes","None","None",0.145,"Ctrl_Ambiant"
"T23_B1_Az10_C6","IMG_3270",715,1,"B1_Az10","B1","T23",23,"Warm","Ctrl","Yes","None","None",0.111,"Ctrl_Warm"
"T23_B1_Az3_C2","IMG_3359",727,1,"B1_Az3","B1","T23",23,"Warm","Ctrl","Yes","None","None",0.138,"Ctrl_Warm"
"T23_B2_Az5_D3","IMG_3297",715,1,"B2_Az5","B2","T23",23,"Ambiant","Ctrl","Yes","None","None",0.133,"Ctrl_Ambiant"
"T23_B2_Az18_D4","IMG_3340",727,1,"B2_Az18","B2","T23",23,"Ambiant","Ctrl","Yes","None","None",0.109,"Ctrl_Ambiant"
"T23_B4_Az12_C1","IMG_3312",715,1,"B4_Az12","B4","T23",23,"Ambiant","Pred","Yes","None","None",0.152,"Pred_Ambiant"
"T23_B4_Az11_C3","IMG_3294",715,1,"B4_Az11","B4","T23",23,"Ambiant","Pred","Yes","None","None",0.146,"Pred_Ambiant"
"T23_B4_Az4_D3","IMG_3349",727,1,"B4_Az4","B4","T23",23,"Ambiant","Pred","Yes","None","None",0.129,"Pred_Ambiant"
"T23_B5_Az18_A5","IMG_3272",715,1,"B5_Az18","B5","T23",23,"Warm","Pred","Yes","None","None",0.113,"Pred_Warm"
"T23_B5_Az3_B3","IMG_3347",727,1,"B5_Az3","B5","T23",23,"Warm","Pred","Yes","None","None",0.173,"Pred_Warm"
"T23_B6_Az18_A6","IMG_3260",715,1,"B6_Az18","B6","T23",23,"Ambiant","Pred","Yes","None","None",0.124,"Pred_Ambiant"
"T23_B6_Az1_D6","IMG_3321",727,1,"B6_Az1","B6","T23",23,"Ambiant","Pred","Yes","None","None",0.108,"Pred_Ambiant"
"T23_B7_Az13_B5","IMG_3276",715,1,"B7_Az13","B7","T23",23,"Warm","Pred","Yes","None","None",0.137,"Pred_Warm"
"T23_B9_Az17_B1","IMG_3310",715,1,"B9_Az17","B9","T23",23,"Warm","Pred","Yes","None","None",0.128,"Pred_Warm"
"T23_B9_Az9_D4","IMG_3287",715,1,"B9_Az9","B9","T23",23,"Warm","Pred","Yes","None","None",0.126,"Pred_Warm"
"T23_B9_Az16_B6","IMG_3317",727,1,"B9_Az16","B9","T23",23,"Warm","Pred","Yes","None","None",0.135,"Pred_Warm"
"T23_C1_Az15_A4","IMG_3281",715,1,"C1_Az15","C1","T23",23,"Ambiant","Pred","Yes","None","None",0.147,"Pred_Ambiant"
"T23_C1_Az1_A2","IMG_3354",727,1,"C1_Az1","C1","T23",23,"Ambiant","Pred","Yes","None","None",0.158,"Pred_Ambiant"
"T23_C1_Az18_A5","IMG_3323",727,1,"C1_Az18","C1","T23",23,"Ambiant","Pred","Yes","None","None",0.119,"Pred_Ambiant"
"T23_C3_Az6_B2","IMG_3357",727,1,"C3_Az6","C3","T23",23,"Ambiant","Pred","Yes","None","None",0.185,"Pred_Ambiant"
"T23_C3_Az9_C4","IMG_3338",727,1,"C3_Az9","C3","T23",23,"Ambiant","Pred","Yes","None","None",0.139,"Pred_Ambiant"
"T23_C3_Az2_C6","IMG_3319",727,1,"C3_Az2","C3","T23",23,"Ambiant","Pred","Yes","None","None",0.158,"Pred_Ambiant"
"T23_C5_Az8_B6","IMG_3265",715,1,"C5_Az8","C5","T23",23,"Ambiant","Ctrl","Yes","None","None",0.124,"Ctrl_Ambiant"
"T23_C5_Az1_D2","IMG_3363",727,1,"C5_Az1","C5","T23",23,"Ambiant","Ctrl","Yes","None","None",0.149,"Ctrl_Ambiant"
"T23_C5_Az16_B5","IMG_3327",727,1,"C5_Az16","C5","T23",23,"Ambiant","Ctrl","Yes","None","None",0.138,"Ctrl_Ambiant"
"T23_C8_Az7_B3","IMG_3292",715,1,"C8_Az7","C8","T23",23,"Warm","Pred","Yes","None","None",0.13,"Pred_Warm"
"T23_C8_Az14_C5","IMG_3328",727,1,"C8_Az14","C8","T23",23,"Warm","Pred","Yes","None","None",0.127,"Pred_Warm"
"T23_C9_Az1_D2","IMG_3305",715,1,"C9_Az1","C9","T23",23,"Ambiant","Pred","Yes","None","None",0.127,"Pred_Ambiant"
"T23_C9_Az10_B4","IMG_3334",727,1,"C9_Az10","C9","T23",23,"Ambiant","Pred","Yes","None","None",0.133,"Pred_Ambiant"
"T23_D6_Az14_D1","IMG_3314",715,1,"D6_Az14","D6","T23",23,"Ambiant","Ctrl","Yes","None","None",0.125,"Ctrl_Ambiant"
"T23_D6_Az4_B2","IMG_3302",715,1,"D6_Az4","D6","T23",23,"Ambiant","Ctrl","Yes","None","None",0.118,"Ctrl_Ambiant"
